id_API,anoApresentacao,dataApresentacao,tipo,ano_query,temas,partidos
64066,2002.0,2002-08-06T18:25,Requerimento de Informação,2002.0,Administração Pública,PT
64073,2002.0,2002-08-06T18:36,Requerimento de Informação,2002.0,Administração Pública,PSB
64077,2002.0,2002-08-06T18:49,Projeto de Lei,2002.0,Trabalho e Emprego,CIDADANIA
64078,2002.0,2002-08-06T18:51,Projeto de Lei,2002.0,Finanças Públicas e Orçamento,PSDB
64079,2002.0,2002-08-06T18:52,Projeto de Lei,2002.0,"Viação, Transporte e Mobilidade",PSDB
64086,2002.0,2002-08-06T19:24,Projeto de Lei,2002.0,Trabalho e Emprego,PP
64107,2002.0,2002-08-06T19:57,Projeto de Lei,2002.0,Defesa e Segurança,PSDB
64244,2002.0,2002-08-07T10:56,Projeto de Lei,2002.0,Trabalho e Emprego,PSC
64254,2002.0,2002-08-07T11:13,Projeto de Lei,2002.0,Finanças Públicas e Orçamento,PT
64273,2002.0,2002-08-07T11:26,Projeto de Lei,2002.0,Comunicações; Homenagens e Datas Comemorativas,SPART
64281,2002.0,2002-08-07T11:38,Projeto de Lei,2002.0,"Arte, Cultura e Religião",PP
64282,2002.0,2002-08-07T11:38,Projeto de Lei,2002.0,"Arte, Cultura e Religião",PP
64283,2002.0,2002-08-07T11:39,Projeto de Lei,2002.0,Educação,PROS
64285,2002.0,2002-08-07T11:42,Projeto de Decreto Legislativo,2002.0,Educação,PTB
64293,2002.0,2002-08-07T11:52,Projeto de Lei,2002.0,Defesa e Segurança,PDT
64297,2002.0,2002-08-07T11:59,Projeto de Lei Complementar,2002.0,Finanças Públicas e Orçamento,SDD
64308,2002.0,2002-08-07T12:25,Projeto de Lei,2002.0,"Finanças Públicas e Orçamento; Indústria, Comércio e Serviços",PP
64309,2002.0,2002-08-07T12:26,Projeto de Lei,2002.0,Finanças Públicas e Orçamento; Trabalho e Emprego,PT
64313,2002.0,2002-08-07T12:41,Projeto de Lei,2002.0,Finanças Públicas e Orçamento; Trabalho e Emprego,PT
64315,2002.0,2002-08-07T12:44,Projeto de Lei,2002.0,Trabalho e Emprego,PL
64318,2002.0,2002-08-07T12:47,Requerimento de Informação,2002.0,Administração Pública,PT
64332,2002.0,2002-08-07T14:35,Projeto de Lei,2002.0,Administração Pública,PT
